year,month,dat,incident_code,Loc_start,loc_end,scene_incident,evidence_state_sponsor,type_state_sponsor,type_incident,total_nationalities,first_group_initiate,second_group_initiate,number_groups_involved,number_terrorists,number_female_terrorists,number_nationalities,first_nationality_terrorists,second_nationality_terrorists,third_nationality_terrorists,recidivists_present,number_victims,num_nationalities_victims,first_nationality_victim,second_nationality_victim,third_nationality_victim,num_us_victims,type_us_victims,type_imm_victims,nature_victim,wounded,terr_wounded,foreign_wounded,us_wounded,gov_wounded,killed,terr_killed,foreign_killed,us_killed,gov_killed,damage,weapon,logistical_success,,Greatest Number of Individuals Wounded,Greatest Number of Individuals Killed
2007,1,99,1,475,475,9,2,9,1,3,4754,9998,1,99,99,1,475,998,998,99,6,2,325,710,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2007,1,1,1,668,668,4,2,9,1,99,9999,9999,9,5,0,9,999,999,999,99,1,1,135,998,998,0,8,6,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2007,1,7,1,663,663,9,2,9,17,99,9999,9998,1,2,0,9,999,999,998,99,1,1,2,998,998,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,9,1,,,
2007,1,10,1,475,475,1,2,9,1,2,4754,9998,1,99,99,1,475,998,998,99,10,2,732,475,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,1,,,
2007,1,12,1,350,350,3,2,9,7,2,3476,9998,1,99,99,1,350,998,998,99,1,1,2,998,998,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,6,6,,,
2007,1,17,1,645,645,4,2,9,8,99,6759,9998,1,99,99,1,645,998,998,99,4,99,2,999,999,1,4,5,1,0,0,0,0,0,4,0,4,4,0,0,9,6,,,
2007,1,99,2,100,100,1,2,9,23,2,1000,9998,1,99,99,1,100,998,998,99,2,2,225,998,998,0,8,5,2,0,0,0,0,0,0,0,0,0,0,9,5,6,,,
2007,1,17,1,100,100,1,2,9,23,2,1000,9998,1,99,99,1,100,998,998,99,2,2,225,100,998,0,8,5,3,1,0,0,0,0,0,0,0,0,0,9,5,6,,,
2007,1,20,1,475,475,6,2,9,1,2,4754,9998,1,99,99,1,475,998,998,99,7,2,840,475,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2007,1,23,1,645,645,5,2,9,8,2,6752,6756,2,99,99,1,645,998,998,99,5,1,2,998,998,5,4,5,3,0,0,0,0,0,5,0,5,5,0,9,9,6,,,
2007,1,24,1,625,483,5,2,9,9,99,3,9998,1,1,0,1,999,998,998,99,103,3,625,200,325,0,8,7,3,0,0,0,0,0,0,0,0,0,0,0,3,6,,,
2007,1,26,1,770,770,2,2,9,25,99,9999,9998,1,1,0,1,999,998,998,99,9,2,2,770,998,1,5,7,1,7,0,0,0,0,2,1,0,0,0,0,5,6,,,
2007,1,29,1,666,666,2,2,9,25,3,6306,6628,2,1,0,1,667,998,998,99,3,2,666,99,998,0,8,7,3,0,0,0,0,0,4,1,1,0,0,9,5,6,,,
2007,2,15,1,435,607,5,2,9,9,3,3,9998,1,1,0,1,435,998,998,99,79,2,230,435,998,0,8,7,3,21,0,21,0,0,0,0,0,0,0,0,3,5,,,
2007,2,16,1,770,770,9,2,9,17,99,9999,9999,9,5,99,9,999,999,999,99,999,99,997,999,999,999,9,9,9,0,0,0,0,0,0,0,0,0,0,0,5,1,,,
2007,2,18,1,365,365,2,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,2,2,2,365,998,1,5,7,3,6,0,0,0,0,0,0,0,0,0,9,5,6,,,
2007,2,19,1,750,750,7,2,9,5,99,9999,9999,9,99,99,9,999,999,999,99,98,2,750,770,998,0,8,7,3,30,0,999,0,0,68,0,999,0,0,9,5,6,,,
2007,2,19,2,90,90,4,2,9,1,2,900,9998,1,4,0,1,90,998,998,99,4,1,92,998,998,0,8,2,1,0,0,0,0,0,4,0,4,0,3,0,9,6,,,
2007,2,20,1,651,651,2,2,9,17,3,6670,9998,1,3,0,1,667,998,998,99,999,1,666,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,5,2,,,
2007,2,23,1,651,651,9,2,9,17,99,6306,9998,2,37,99,2,667,651,998,99,999,99,997,999,999,0,8,9,9,0,0,0,0,0,0,0,0,0,0,0,5,2,,,
2007,2,23,2,475,475,4,2,9,8,2,4754,9998,1,5,0,1,475,998,998,99,3,2,660,475,998,0,8,5,1,2,0,1,0,0,1,0,1,0,0,0,4,6,,,
2007,2,23,3,475,475,6,2,9,1,2,4754,9998,1,99,99,1,475,998,998,99,2,2,325,475,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2007,2,26,1,640,640,2,2,9,11,99,9999,9999,9,99,99,9,999,999,999,99,5,2,220,670,998,0,8,7,1,1,0,1,0,0,4,0,3,0,0,0,9,6,,,
2007,2,27,1,780,780,5,2,9,8,7,7804,9998,1,99,99,1,780,998,998,99,13,7,20,200,255,1,1,2,1,9,0,2,1,9,0,0,0,0,0,0,6,6,,,
2007,2,27,2,700,700,1,2,9,24,3,7010,9998,1,1,0,1,700,998,998,99,23,3,2,732,700,2,2,4,1,0,0,0,0,0,24,1,3,2,2,0,5,6,,,
2007,2,1,1,530,530,4,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,18,4,200,325,220,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2007,3,5,1,700,700,4,2,9,1,2,7000,9998,1,99,99,1,700,998,998,99,3,2,325,700,998,0,8,6,1,0,0,0,0,0,1,0,0,0,0,0,9,6,,,
2007,3,5,2,625,625,1,2,9,11,2,6259,9998,1,99,99,1,625,998,998,99,3,1,599,998,998,0,8,4,1,1,0,1,0,1,2,0,2,0,2,0,9,6,,,
2007,3,6,1,520,520,9,2,9,8,9,9999,9999,9,99,99,9,999,999,999,99,99,1,500,998,998,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,5,6,,,
2007,3,6,2,770,770,9,2,9,8,2,3720,9998,1,99,99,1,372,998,998,99,15,1,770,998,998,0,8,7,1,0,0,0,0,0,15,0,0,0,0,0,4,6,,,
2007,3,7,1,520,520,2,2,9,99,99,9999,9999,9,99,99,9,999,999,999,99,999,2,520,520,998,0,8,4,1,999,0,0,0,2,9,0,0,0,0,0,6,6,,,
2007,3,12,1,668,668,4,2,9,1,2,6670,9998,1,99,99,1,667,998,998,99,1,1,206,998,998,0,8,6,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2007,3,22,1,645,645,2,2,9,8,99,9999,9999,9,99,99,9,999,99,999,99,1,1,996,998,998,0,8,2,2,0,0,0,0,0,0,0,0,0,0,1,6,6,,,
2007,3,23,1,520,520,5,2,9,7,99,9999,9999,9,99,99,9,999,999,999,99,999,9,376,998,998,0,8,5,3,999,0,999,0,0,999,0,999,0,0,4,6,6,,,
2007,3,30,1,620,625,5,2,9,9,2,3,9998,1,1,0,1,625,998,998,99,999,2,620,625,998,0,8,7,3,0,0,0,0,0,0,0,0,0,0,0,2,6,,,
2007,4,3,1,700,700,9,2,9,1,2,7010,9998,1,99,99,1,700,998,998,99,5,2,220,700,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2007,4,14,1,600,600,3,2,9,25,2,6002,9998,1,1,0,1,600,998,998,99,1,1,2,998,998,1,1,2,2,0,0,0,0,0,1,1,0,0,0,9,5,6,,,
2007,4,14,2,600,600,3,2,9,25,2,6002,9998,1,1,0,1,600,998,998,99,2,2,2,600,998,1,5,7,3,1,0,0,0,0,1,1,0,0,0,9,5,6,,,
2007,4,18,1,640,640,3,2,9,11,2,3,9998,1,5,0,1,640,998,998,99,3,2,255,640,998,0,8,6,1,0,0,0,0,0,3,0,1,0,0,0,2,6,,,
2007,4,24,1,530,530,1,2,9,1,2,5307,9998,1,98,99,1,530,998,998,99,74,2,710,530,998,0,8,5,1,0,0,0,0,0,74,0,9,0,0,0,4,6,,,
2007,5,1,1,475,475,6,2,9,1,2,4756,9998,1,99,99,1,475,998,998,99,6,2,2,475,998,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2007,5,2,1,645,645,1,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,5,4,750,840,790,1,4,5,1,0,0,0,0,0,5,0,5,0,0,0,6,6,,,
2007,5,3,1,475,475,1,2,9,1,3,4756,9998,1,99,99,1,475,998,998,99,11,2,732,840,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2007,5,8,1,475,475,1,2,9,6,2,4756,9998,1,99,99,1,475,998,998,99,2,2,325,475,998,0,8,5,2,0,0,0,0,0,0,0,0,0,0,9,5,6,,,
2007,5,8,2,2,2,1,2,9,17,3,2,9998,1,6,0,3,345,640,2,99,1,1,2,998,998,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,4,1,,,
2007,5,9,1,475,475,6,2,9,1,2,4754,9998,1,99,99,1,475,998,998,99,4,1,2,998,998,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2007,5,9,2,520,520,9,2,9,1,3,5200,9998,1,99,99,1,520,998,998,99,2,2,204,501,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2007,5,14,1,770,770,9,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,999,3,2,770,700,1,2,3,1,999,0,999,0,999,2,0,1,1,2,0,4,6,,,
2007,5,15,1,770,770,2,2,9,25,2,7010,9998,1,1,0,1,700,998,998,99,999,2,700,770,998,0,8,7,1,999,0,999,0,0,26,1,999,0,0,0,5,6,,,
2007,5,16,1,520,520,4,2,9,6,2,5200,9998,1,99,99,1,520,998,998,99,12,2,500,520,998,0,8,4,1,7,0,5,0,5,5,0,4,0,4,0,5,6,,,
2007,5,19,1,700,700,2,2,9,25,99,9999,9998,1,1,0,1,999,998,998,99,10,2,255,700,998,0,8,4,1,0,0,0,0,0,11,1,3,0,0,0,5,6,,,
2007,5,22,1,640,640,2,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,85,2,770,640,998,0,8,7,1,80,0,8,0,0,5,0,1,0,0,0,5,6,,,
2007,5,25,1,475,475,6,2,9,1,4,4754,9998,1,99,99,1,475,998,998,99,8,3,2,200,560,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2007,5,29,1,645,645,1,2,9,1,4,6448,9998,1,99,99,1,645,998,998,99,5,3,200,20,2,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
