year,month,dat,incident_code,Loc_start,loc_end,scene_incident,evidence_state_sponsor,type_state_sponsor,type_incident,total_nationalities,first_group_initiate,second_group_initiate,number_groups_involved,number_terrorists,number_female_terrorists,number_nationalities,first_nationality_terrorists,second_nationality_terrorists,third_nationality_terrorists,recidivists_present,number_victims,num_nationalities_victims,first_nationality_victim,second_nationality_victim,third_nationality_victim,num_us_victims,type_us_victims,type_imm_victims,nature_victim,wounded,terr_wounded,foreign_wounded,us_wounded,gov_wounded,killed,terr_killed,foreign_killed,us_killed,gov_killed,damage,weapon,logistical_success,,Greatest Number of Individuals Wounded,Greatest Number of Individuals Killed
1968,1,2,1,2,2,6,2,9,17,2,400,9998,1,6,99,1,40,998,998,99,998,99,999,999,999,999,9,9,3,0,0,0,999,999,0,0,0,999,999,0,5,1,,,
1968,1,7,1,230,230,9,2,9,11,2,9999,9999,9,99,99,9,999,999,999,99,998,1,615,998,998,0,8,8,1,0,0,0,999,999,1,0,1,999,999,0,9,6,,,
1968,1,9,1,2,40,3,2,9,4,2,401,9998,1,99,99,1,40,998,998,99,998,1,40,998,998,0,8,7,1,5,0,0,999,999,0,0,0,999,999,0,5,6,,,
1968,1,13,1,666,666,3,2,9,8,2,6670,9998,1,99,99,1,667,998,998,99,998,1,666,998,998,0,8,7,3,0,0,0,999,999,0,0,0,999,999,9,6,6,,,
1968,1,16,1,90,90,2,2,9,11,2,901,9998,1,99,99,1,90,998,998,99,998,1,2,998,998,999,2,4,1,2,0,2,999,999,2,0,2,999,999,0,9,6,,,
1968,1,25,1,2,2,3,2,9,4,2,401,9998,1,99,99,1,40,998,998,99,998,1,2,998,998,999,4,5,3,1,0,0,999,999,0,0,0,999,999,9,5,6,,,
1968,1,25,2,2,2,3,2,9,4,2,401,9998,1,99,99,1,40,998,998,99,998,1,2,998,998,999,4,5,3,0,0,0,999,999,0,0,0,999,999,9,5,6,,,
1968,2,8,1,2,2,3,2,9,6,3,401,9998,1,99,99,1,40,998,998,99,998,1,200,998,998,0,8,2,2,0,0,0,999,999,0,0,0,999,999,9,5,6,,,
1968,2,9,1,160,160,1,2,9,20,2,9999,9999,9,99,99,9,999,999,999,99,998,1,2,998,998,999,1,2,3,0,0,0,999,999,0,0,0,999,999,9,4,6,,,
1968,2,12,1,42,42,3,2,9,5,2,9999,9999,9,99,99,9,999,999,999,99,998,1,2,998,998,999,3,2,2,0,0,0,999,999,0,0,0,999,999,0,5,3,,,
1968,2,13,1,165,165,3,2,9,5,2,9999,9999,9,99,99,9,999,999,999,99,998,1,2,998,998,999,3,2,2,0,0,0,999,999,0,0,0,999,999,0,5,3,,,
1968,2,15,1,42,42,3,2,9,5,2,9999,9999,9,99,99,9,999,999,999,99,998,1,2,998,998,999,3,2,2,0,0,0,999,999,0,0,0,999,999,0,5,3,,,
